CASED  7.5000000000000000E+01  3.7500000000000000E+02 -7.0250999999999772E+02  0.0000000000000000E+00  0.0000000000000000E+00  4.9999999999954525E+00
CASED  7.5000000000000000E+01  3.7500000000000000E+02 -7.0750999999999317E+02  0.0000000000000000E+00  0.0000000000000000E+00  4.9999999999954525E+00
CASED  7.5000000000000000E+01  3.7500000000000000E+02 -7.1250999999998862E+02  0.0000000000000000E+00  0.0000000000000000E+00  4.9999999999954525E+00
CASED  7.5000000000000000E+01  3.7500000000000000E+02 -7.1750999999998407E+02  0.0000000000000000E+00  0.0000000000000000E+00  4.9999999999954525E+00
CASED  7.5000000000000000E+01  3.7500000000000000E+02 -7.2250999999997953E+02  0.0000000000000000E+00  0.0000000000000000E+00  4.9999999999954525E+00
CASED  7.5000000000000000E+01  3.7500000000000000E+02 -7.2750999999997498E+02  0.0000000000000000E+00  0.0000000000000000E+00  4.9999999999954525E+00
CASED  7.5000000000000000E+01  3.7500000000000000E+02 -7.3250999999997043E+02  0.0000000000000000E+00  0.0000000000000000E+00  4.9999999999954525E+00
CASED  7.5000000000000000E+01  3.7500000000000000E+02 -7.3750999999996588E+02  0.0000000000000000E+00  0.0000000000000000E+00  4.9999999999954525E+00
CASED  7.5000000000000000E+01  3.7500000000000000E+02 -7.4250999999996134E+02  0.0000000000000000E+00  0.0000000000000000E+00  4.9999999999954525E+00
CASED  7.5000000000000000E+01  3.7500000000000000E+02 -7.4750999999995679E+02  0.0000000000000000E+00  0.0000000000000000E+00  4.9999999999954525E+00
CASED  7.5000000000000000E+01  3.7500000000000000E+02 -7.5250999999995224E+02  0.0000000000000000E+00  0.0000000000000000E+00  4.9999999999954525E+00
CASED  7.5000000000000000E+01  3.7500000000000000E+02 -7.5750999999994769E+02  0.0000000000000000E+00  0.0000000000000000E+00  4.9999999999954525E+00
CASED  7.5000000000000000E+01  3.7500000000000000E+02 -7.6250999999994315E+02  0.0000000000000000E+00  0.0000000000000000E+00  4.9999999999954525E+00
